0,SansAnimation,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansText,ready?,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.06666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.26666,SansSlam,1,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,BoneStab,1,64,0.18000,0.4,,,,
0,BoneStab,3,64,0.18000,0.4,,,,
0.76666,SansSlam,2,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,BoneStab,2,60,0.46000,0.4,,,,
0,BoneStab,0,60,0.46000,0.4,,,,
0,GasterBlaster,1,-16,285,165,285,0,0,7,0,1444,,,,,,
0,HeartMode,1,,,,,,,,
0,BoneVRepeat,513,352,35,2,120,14,76
0,BoneVRepeat,513,367,20,2,90,14,120
